id, comm, latitude, longitude
199, 1, 40.72584, -74.00551
200, 0, 40.750507, -74.026695
201, 6, 40.7082, -73.7035
202, 6, 40.748688, -73.99235
203, 0, 40.736187, -74.009575
204, 1, 40.72747, -73.95024
205, 0, 40.754505, -73.97066
206, 25, 40.71998, -73.86479
207, 4, 40.84189, -73.87349
208, 0, 40.75395, -73.98551
210, 11, 40.54249, -74.21136
211, 0, 40.741497, -74.00147
212, 34, 40.73811, -73.99899
213, 21, 40.77659, -73.91242
214, 4, 40.734303, -73.99123
215, 41, 40.729317, -73.859215
216, 4, 40.690586, -73.86925
217, 0, 40.752316, -73.98392
218, 1, 40.73018, -74.00032
219, 10, 40.753357, -73.98736
220, 25, 40.7106, -74.00614
221, 31, 40.758423, -73.9888
222, 13, 40.694866, -73.95292
224, 1, 40.76899, -73.984825
225, 0, 40.67757, -73.97946
226, 4, 40.700382, -73.94261
227, 0, 40.691868, -73.98309
228, 6, 40.73918, -73.993484
229, 0, 40.745247, -73.98471
230, 0, 40.78251, -73.71522
231, 34, 40.73906, -73.98465
232, 1, 40.875862, -73.85049
233, 19, 40.753902, -73.9764
234, 26, 40.758392, -73.98549
235, 1, 40.66599, -73.670425
236, 8, 40.7461, -73.63621
237, 8, 40.69294, -74.01643
238, 8, 40.736546, -74.00439
239, 5, 40.50938, -74.27063
240, 1, 40.7231, -74.00643
241, 4, 40.726276, -73.93718
242, 0, 40.684967, -73.98001
243, 3, 40.59786, -74.08405
244, 5, 40.776196, -73.83534
245, 0, 40.71252, -73.95876
246, 5, 40.730656, -74.00001
247, 29, 40.855267, -73.93721
248, 36, 40.796883, -73.9589
249, 1, 40.756397, -73.997185
250, 6, 40.862106, -73.924995
251, 4, 40.908108, -73.782745
252, 0, 40.641533, -74.01784
253, 21, 40.636887, -73.98655
254, 4, 40.748653, -74.00864
255, 0, 40.772205, -73.97469
256, 0, 40.86166, -73.931946
257, 1, 40.756947, -73.978874
258, 1, 40.63893, -73.94219
259, 1, 40.712864, -74.0075
260, 31, 40.755676, -73.96899
261, 0, 40.746426, -73.9822
262, 4, 40.751614, -73.88505
263, 0, 40.681076, -73.97721
264, 21, 40.730953, -73.635086
266, 8, 40.758114, -73.99704
267, 8, 40.714172, -74.00832
268, 21, 40.60988, -73.95719
270, 0, 40.71992, -73.99127
271, 5, 40.658184, -73.67644
