id, latitude, longitude, comm
8566205,40.75299371,-73.9691675381,0
2956695,40.8142039389,-73.940519972,6
6641053,40.7433677105,-73.9513850359,0
3022777,40.7262109052,-73.9482666802,36
2699454,40.7549030663,-73.9672900956,61
6499591,40.6918943687,-73.9440534447,14
4824808,40.6693372581,-73.9497555231,6
23501,40.8392703535,-73.9428133464,25
8686886,40.7425814302,-73.982266106,0
5760776,40.7238608105,-74.0046221732,6
8832355,40.723105086,-73.9381886063,0
2221852,40.8342562577,-73.9475755292,25
828130,40.6622860955,-73.9629572595,13
15757025,40.7300443752,-74.0002827836,5
10569945,40.7589111362,-73.99589849,19
15726728,40.7582844709,-73.9917711112,4
15391355,40.6720406781,-73.9328220257,10
14548579,40.6983352263,-73.9275548103,1
11299824,40.7493100234,-73.9971074046,0
503722,40.7134505424,-73.9568852229,26
2111336,40.8253176865,-73.949922869,0
9844509,40.6626034906,-73.9600326704,4
4645457,40.6748612369,-73.9601084696,0
15716112,40.6919168031,-73.9125776713,31
7613150,40.7668377261,-73.9540120247,5
12367315,40.6880903555,-73.9602715659,0
12650830,40.6918597953,-73.9403843983,25
15510440,40.6963201268,-73.9517401707,8
6304002,40.6856288717,-73.9495302789,8
14429955,40.7638336455,-73.9921122411,18
14429957,40.7631988357,-73.9887455583,12
12401183,40.8128262595,-73.951487089,1
14800370,40.7115385131,-73.94050281,0
9221158,40.7634292145,-73.9865933811,0
14631629,40.7675147743,-73.9243343367,14
16173686,40.7180510464,-73.9895839124,4
10039906,40.7596426727,-73.9649896819,0
10657189,40.6989241072,-73.946451492,0
5562412,40.7061921229,-73.9270971446,4
9406699,40.761485243,-73.9648794036,3
2953058,40.6913709478,-73.9672276847,31
6611557,40.687809259,-73.9142107488,1
3249258,40.7591480883,-73.9903654586,1
13318150,40.7131159736,-73.9575193373,1
11221362,40.7577083566,-73.9687165536,29
7134433,40.7924715283,-73.9409745419,4
14140141,40.6919812918,-73.9606549676,0
12772942,40.70897894,-73.9508574109,3
14141693,40.783326837,-73.9469951353,8
107895,40.7794408763,-73.9856656246,26
13140389,40.8033510362,-73.9561422885,3
10455140,40.7947770465,-73.9753776608,29
13532136,40.712019951,-73.9655028517,13
7052234,40.7696353542,-73.955982943,0
65268,40.6827647397,-73.9526354853,0
6384378,40.7043903972,-73.926194638,14
6270767,40.8017866823,-73.9649466195,18
991396,40.6775032218,-73.9764451835,1
15464832,40.7212812926,-73.9879839188,8
13604485,40.6877974034,-73.9549289736,41
15464838,40.7094300749,-74.0050597278,7
6954833,40.6905091261,-73.9345628554,5
2540173,40.6745393716,-73.9680314237,0
13556846,40.7028560922,-73.9270994213,0
9859033,40.7258678517,-73.9827541854,4
7843582,40.6704167375,-73.9567691018,34
1560408,40.7133047638,-73.9460243115,0
8989320,40.8047305325,-73.9476316739,0
9199352,40.7279597512,-74.0019388968,13
15867654,40.7149146674,-73.9384514449,18
7672817,40.7171532936,-73.989881176,41
13327670,40.7407959744,-74.0012686528,8
5049823,40.7654961935,-73.98018128,3
16217680,40.7780236345,-73.9450492264,0
9096630,40.7154381193,-73.9910647912,0
13769865,40.7214885866,-73.980801331,0
14299469,40.75183338,-73.9420023936,31
2506158,40.8226745182,-73.9465207008,21
12763385,40.687523182,-73.9618029265,4
13895892,40.7306776612,-73.9884385972,34
6300809,40.7746757072,-73.979663678,0
5735314,40.7210186578,-73.943819615,5
2084109,40.6779814523,-73.9811620189,7
663581,40.7710880178,-73.9503111122,32
8183563,40.7317786971,-73.9884189555,4
8354416,40.7555595777,-73.9388056204,4
14935998,40.6934661149,-73.9822174397,4
13577818,40.6860381725,-73.9244591535,3
1074155,40.7979355142,-73.9322327246,34
14100692,40.7175216006,-73.9423477956,0
12905334,40.7234686913,-74.0017436735,1
371835,40.6942926733,-73.9063207286,0
5152321,40.7092577196,-73.9483681023,0
7652181,40.7124165025,-73.9500913347,6
